 Case_ID  IEC  AeroDyn15      ElastoDyn           ElastoDyn           ElastoDyn       ElastoDyn  ElastoDyn      ElastoDyn       ElastoDyn     Fst      Fst     Fst       Fst       Fst    Fst                                              InflowWind                                                                                     InflowWind                                           InflowWind  InflowWind    ServoDyn     ServoDyn     ServoDyn                             ServoDyn                            ServoDyn  ServoDyn    ServoDyn      ServoDyn      ServoDyn     ServoDyn   ServoDyn   ServoDyn  ServoDyn 
          DLC  AFAeroMod       BlPitch1            BlPitch2            BlPitch3         GenDOF     NacYaw        RotSpeed         YawDOF   CompElast    DT    DT_Out  OutFileFmt   TMax  TStart                                           FileName_BTS                                                                                   Filename_Uni                                          RefLength    WindType   BlPitchF(1)  BlPitchF(2)  BlPitchF(3)                          DLL_FileName                          GenTiStp   PCMode   PitManRat(1)  PitManRat(2)  PitManRat(3)  TPitManS1  TPitManS2  TPitManS3  TimGenOf 
    0     1.1      2             0.0                 0.0                 0.0             True       0.0            2.92           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed1.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed1.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    1     1.1      2             0.0                 0.0                 0.0             True       0.0            2.92           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed2.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed2.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    2     1.1      2             0.0                 0.0                 0.0             True       0.0            2.92           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed3.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed3.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    3     1.1      2             0.0                 0.0                 0.0             True       0.0            2.92           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed4.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed4.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    4     1.1      2             0.0                 0.0                 0.0             True       0.0            2.92           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed5.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed5.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    5     1.1      2             0.0                 0.0                 0.0             True       0.0            2.92           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed6.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U3.000000_Seed6.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    6     1.1      2             0.0                 0.0                 0.0             True       0.0            4.88           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed1.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed1.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    7     1.1      2             0.0                 0.0                 0.0             True       0.0            4.88           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed2.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed2.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    8     1.1      2             0.0                 0.0                 0.0             True       0.0            4.88           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed3.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed3.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
